fir_id,district,station_id,crime_type,date,time,lat,lon,status,mo,case_summary,bns_sections,accused_ids,victim_id,vehicle,phone_hash,synthetic,data_label
SYN-2026-MNG-0016,Mangaluru,PS-MNG-SYN-04,Motorcycle Theft,2024-08-16,09:15,12.85288,74.93519,Closed,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1015""]",V-SYN-08015,KA-SYN-03015,PH-SYN-05015,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0017,Belagavi,PS-BLG-SYN-05,UPI Fraud,2024-08-17,14:28,15.87393,74.48646,Open,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1016""]",V-SYN-08016,NA,PH-SYN-05016,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0018,Kalaburagi,PS-KLB-SYN-06,Chain Snatching,2024-08-18,22:41,17.36829,76.88672,Under Investigation,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-69585E0D""]",V-SYN-08017,NA,PH-SYN-CB8C1321,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0019,Bengaluru South,PS-BLR-SYN-07,Chain Snatching,2024-08-19,06:54,12.95892,77.61175,Charge Sheet Filed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1018""]",V-SYN-08018,NA,PH-SYN-05018,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0020,Mysuru,PS-MYS-SYN-08,House Burglary,2024-08-20,11:07,12.38179,76.64824,Closed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1019""]",V-SYN-08019,NA,PH-SYN-05019,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0021,Hubballi-Dharwad,PS-HBL-SYN-09,Motorcycle Theft,2024-08-21,16:20,15.34075,75.15846,Open,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1020""]",V-SYN-08020,NA,PH-SYN-05020,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0022,Mangaluru,PS-MNG-SYN-10,UPI Fraud,2024-08-22,21:33,12.94054,74.8704,Under Investigation,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1021""]",V-SYN-08021,NA,PH-SYN-05021,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0023,Belagavi,PS-BLG-SYN-11,Mobile Phone Theft,2024-08-23,08:46,15.82671,74.51506,Charge Sheet Filed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1022""]",V-SYN-08022,NA,PH-SYN-05022,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0024,Kalaburagi,PS-KLB-SYN-12,Chain Snatching,2024-08-24,13:59,17.25988,76.89402,Closed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1023""]",V-SYN-08023,NA,PH-SYN-05023,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0025,Bengaluru South,PS-BLR-SYN-01,House Burglary,2024-08-25,18:12,12.89666,77.59227,Open,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1024""]",V-SYN-08024,NA,PH-SYN-05024,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0026,Mysuru,PS-MYS-SYN-02,Motorcycle Theft,2024-08-26,23:25,12.36944,76.67108,Under Investigation,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1025""]",V-SYN-08025,NA,PH-SYN-05025,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0027,Hubballi-Dharwad,PS-HBL-SYN-03,UPI Fraud,2024-08-27,10:38,15.28702,75.19624,Charge Sheet Filed,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1026""]",V-SYN-08026,NA,PH-SYN-05026,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0028,Mangaluru,PS-MNG-SYN-04,Mobile Phone Theft,2024-08-28,15:51,12.97066,74.78498,Closed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1027""]",V-SYN-08027,KA-SYN-03027,PH-SYN-05027,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0029,Belagavi,PS-BLG-SYN-05,Chain Snatching,2024-08-29,20:04,15.823,74.43476,Open,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1028""]",V-SYN-08028,NA,PH-SYN-05028,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0030,Kalaburagi,PS-KLB-SYN-06,House Burglary,2024-08-30,07:17,17.26579,76.84203,Under Investigation,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1029""]",V-SYN-08029,NA,PH-SYN-05029,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0031,Bengaluru South,PS-BLR-SYN-07,Motorcycle Theft,2024-08-31,12:30,13.00048,77.54427,Charge Sheet Filed,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1030""]",V-SYN-08030,KA-SYN-03030,PH-SYN-05030,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0032,Mysuru,PS-MYS-SYN-08,UPI Fraud,2024-09-01,17:43,12.27703,76.66616,Closed,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1031""]",V-SYN-08031,NA,PH-SYN-05031,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0033,Hubballi-Dharwad,PS-HBL-SYN-09,Mobile Phone Theft,2024-09-02,22:56,15.36912,75.07364,Open,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1032""]",V-SYN-08032,NA,PH-SYN-05032,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0034,Mangaluru,PS-MNG-SYN-10,Chain Snatching,2024-09-03,09:09,12.98421,74.84838,Under Investigation,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1033""]",V-SYN-08033,NA,PH-SYN-05033,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0035,Belagavi,PS-BLG-SYN-11,UPI Fraud,2024-09-04,21:22,15.78776,74.52036,Charge Sheet Filed,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-DE5F7470""]",V-SYN-08034,NA,PH-SYN-84FB0E6A,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0036,Kalaburagi,PS-KLB-SYN-12,Motorcycle Theft,2024-09-05,19:35,17.37922,76.86339,Closed,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1035""]",V-SYN-08035,NA,PH-SYN-05035,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0037,Bengaluru South,PS-BLR-SYN-01,UPI Fraud,2024-09-06,06:48,12.99413,77.5946,Open,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1036""]",V-SYN-08036,NA,PH-SYN-05036,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0038,Mysuru,PS-MYS-SYN-02,Mobile Phone Theft,2024-09-07,11:01,12.33647,76.61558,Under Investigation,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1037""]",V-SYN-08037,NA,PH-SYN-05037,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0039,Hubballi-Dharwad,PS-HBL-SYN-03,Chain Snatching,2024-09-08,16:14,15.43032,75.17801,Charge Sheet Filed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1038""]",V-SYN-08038,NA,PH-SYN-05038,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0040,Mangaluru,PS-MNG-SYN-04,House Burglary,2024-09-09,21:27,12.83558,74.90918,Closed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1039""]",V-SYN-08039,NA,PH-SYN-05039,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0041,Belagavi,PS-BLG-SYN-05,Motorcycle Theft,2024-09-10,08:40,15.89174,74.5755,Open,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1040""]",V-SYN-08040,NA,PH-SYN-05040,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0042,Kalaburagi,PS-KLB-SYN-06,UPI Fraud,2024-09-11,13:53,17.30306,76.81307,Under Investigation,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1041""]",V-SYN-08041,NA,PH-SYN-05041,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0043,Bengaluru South,PS-BLR-SYN-07,Mobile Phone Theft,2024-09-12,18:06,12.89405,77.59903,Charge Sheet Filed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1042""]",V-SYN-08042,KA-SYN-03042,PH-SYN-05042,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0044,Mysuru,PS-MYS-SYN-08,Chain Snatching,2024-09-13,23:19,12.29339,76.6421,Closed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1043""]",V-SYN-08043,NA,PH-SYN-05043,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0045,Hubballi-Dharwad,PS-HBL-SYN-09,House Burglary,2024-09-14,10:32,15.39359,75.14782,Open,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1044""]",V-SYN-08044,NA,PH-SYN-05044,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0046,Mangaluru,PS-MNG-SYN-10,Motorcycle Theft,2024-09-15,15:45,12.88728,74.78885,Under Investigation,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1045""]",V-SYN-08045,KA-SYN-03045,PH-SYN-05045,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0047,Belagavi,PS-BLG-SYN-11,UPI Fraud,2024-09-16,20:58,15.88188,74.4723,Charge Sheet Filed,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1046""]",V-SYN-08046,NA,PH-SYN-05046,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0048,Kalaburagi,PS-KLB-SYN-12,Mobile Phone Theft,2024-09-17,07:11,17.31362,76.7558,Closed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1047""]",V-SYN-08047,NA,PH-SYN-05047,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0049,Bengaluru South,PS-BLR-SYN-01,Chain Snatching,2024-09-18,12:24,12.96111,77.62357,Open,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1048""]",V-SYN-08048,NA,PH-SYN-05048,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0050,Mysuru,PS-MYS-SYN-02,House Burglary,2024-09-19,17:37,12.32056,76.58378,Under Investigation,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1049""]",V-SYN-08049,NA,PH-SYN-05049,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0051,Hubballi-Dharwad,PS-HBL-SYN-03,Motorcycle Theft,2024-09-20,22:50,15.43496,75.11136,Charge Sheet Filed,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1050""]",V-SYN-08050,NA,PH-SYN-05050,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0052,Mangaluru,PS-MNG-SYN-04,House Burglary,2024-09-21,22:03,12.93273,74.86406,Closed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-7677DAD0""]",V-SYN-08051,NA,PH-SYN-B0676565,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0053,Belagavi,PS-BLG-SYN-05,Mobile Phone Theft,2024-09-22,14:16,15.88866,74.49037,Open,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1052""]",V-SYN-08052,NA,PH-SYN-05052,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0054,Kalaburagi,PS-KLB-SYN-06,Chain Snatching,2024-09-23,19:29,17.30752,76.8427,Under Investigation,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1053""]",V-SYN-08053,NA,PH-SYN-05053,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0055,Bengaluru South,PS-BLR-SYN-07,House Burglary,2024-09-24,06:42,12.85865,77.56059,Charge Sheet Filed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1054""]",V-SYN-08054,NA,PH-SYN-05054,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0056,Mysuru,PS-MYS-SYN-08,Motorcycle Theft,2024-09-25,11:55,12.28275,76.58427,Closed,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1055""]",V-SYN-08055,NA,PH-SYN-05055,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0057,Hubballi-Dharwad,PS-HBL-SYN-09,UPI Fraud,2024-09-26,16:08,15.3475,75.10206,Open,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1056""]",V-SYN-08056,NA,PH-SYN-05056,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0058,Mangaluru,PS-MNG-SYN-10,Mobile Phone Theft,2024-09-27,21:21,12.88925,74.83677,Under Investigation,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1057""]",V-SYN-08057,KA-SYN-03057,PH-SYN-05057,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0059,Belagavi,PS-BLG-SYN-11,Chain Snatching,2024-09-28,08:34,15.82839,74.48845,Charge Sheet Filed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1058""]",V-SYN-08058,NA,PH-SYN-05058,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0060,Kalaburagi,PS-KLB-SYN-12,House Burglary,2024-09-29,13:47,17.26592,76.84105,Closed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1059""]",V-SYN-08059,NA,PH-SYN-05059,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0061,Bengaluru South,PS-BLR-SYN-01,Motorcycle Theft,2024-09-30,18:00,13.00301,77.5326,Open,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1060""]",V-SYN-08060,KA-SYN-03060,PH-SYN-05060,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0062,Mysuru,PS-MYS-SYN-02,UPI Fraud,2024-10-01,23:13,12.29369,76.70982,Under Investigation,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1061""]",V-SYN-08061,NA,PH-SYN-05061,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0063,Hubballi-Dharwad,PS-HBL-SYN-03,Mobile Phone Theft,2024-10-02,10:26,15.28741,75.11945,Charge Sheet Filed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1062""]",V-SYN-08062,NA,PH-SYN-05062,true,SYNTHETIC DEMO DATA
SYN-2026-MNG-0064,Mangaluru,PS-MNG-SYN-04,Chain Snatching,2024-10-03,15:39,12.8693,74.8635,Closed,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1063""]",V-SYN-08063,NA,PH-SYN-05063,true,SYNTHETIC DEMO DATA
SYN-2026-BLG-0065,Belagavi,PS-BLG-SYN-05,House Burglary,2024-10-04,20:52,15.92531,74.49722,Open,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1064""]",V-SYN-08064,NA,PH-SYN-05064,true,SYNTHETIC DEMO DATA
SYN-2026-KLB-0066,Kalaburagi,PS-KLB-SYN-06,Motorcycle Theft,2024-10-05,07:05,17.36023,76.7752,Under Investigation,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"BNS 303(2), 317","[""A-SYN-1065""]",V-SYN-08065,NA,PH-SYN-05065,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0067,Bengaluru South,PS-BLR-SYN-07,UPI Fraud,2024-10-06,12:18,12.89461,77.55822,Charge Sheet Filed,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,Synthetic report of a social-engineering payment fraud using a disposable phone number.,BNS 318(4); IT Act 66D,"[""A-SYN-1066""]",V-SYN-08066,NA,PH-SYN-05066,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0068,Mysuru,PS-MYS-SYN-08,Mobile Phone Theft,2024-10-07,17:31,12.33217,76.63396,Closed,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1067""]",V-SYN-08067,NA,PH-SYN-05067,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0069,Hubballi-Dharwad,PS-HBL-SYN-09,Mobile Phone Theft,2024-10-08,21:44,15.39104,75.05819,Open,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-FFA329CF""]",V-SYN-08068,NA,PH-SYN-C246587E,true,SYNTHETIC DEMO DATA
