fir_id,data_version,language,case_summary,mo,crime_type_label,district_label
SYN-2025-MNG-004,synthetic-20260717-1000,en,Synthetic report: fraudulent collect request sent after spoofed verification call.,"Caller impersonates bank support, uses same wording and mule account pattern as earlier fraud case.",UPI Fraud,Mangaluru
SYN-2025-MNG-004,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮಂಗಳೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಯುಪಿಐ ವಂಚನೆ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-MNG-004 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-MNG-004 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಯುಪಿಐ ವಂಚನೆ,ಮಂಗಳೂರು
SYN-2025-BLR-027,synthetic-20260717-1000,en,Synthetic report: jewellery and electronics reported missing from locked home.,Entry through rear window between 1 AM and 4 AM; targets locked independent houses.,House Burglary,Bengaluru South
SYN-2025-BLR-027,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಳ್ಳತನ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-BLR-027 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-BLR-027 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಮನೆ ಕಳ್ಳತನ,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2025-BLR-033,synthetic-20260717-1000,en,Synthetic report: repeated night burglary pattern near residential layout.,Entry through rear window between 1 AM and 4 AM; CCTV shows same small goods vehicle nearby.,House Burglary,Bengaluru South
SYN-2025-BLR-033,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಳ್ಳತನ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-BLR-033 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-BLR-033 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಮನೆ ಕಳ್ಳತನ,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2026-LEG-1003,synthetic-20260717-1000,en,Synthetic report: motorcycle removed from Mysuru railway parking during evening rush.,Duplicate key used for motorcycle theft near railway parking after 8 PM.,Motorcycle Theft,Mysuru
SYN-2026-LEG-1003,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-LEG-1003 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-LEG-1003 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮೈಸೂರು
SYN-2026-LEG-1004,synthetic-20260717-1000,en,Synthetic report: railway-area motorcycle theft pattern closed after vehicle recovery.,Duplicate key used at night; target motorcycle parked near railway approach road.,Motorcycle Theft,Mysuru
SYN-2026-LEG-1004,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-LEG-1004 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-LEG-1004 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮೈಸೂರು
SYN-2026-LEG-1008,synthetic-20260717-1000,en,Synthetic report: two-wheeler stolen from railway parking row with repeated duplicate-key MO.,Railway parking motorcycle theft after 10 PM; duplicate key and quick exit route used.,Motorcycle Theft,Mysuru
SYN-2026-LEG-1008,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-LEG-1008 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-LEG-1008 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮೈಸೂರು
SYN-2026-LEG-1015,synthetic-20260717-1000,en,Synthetic report: motorcycle theft around Devaraja railway approach with shared phone and vehicle pattern.,Duplicate key used near railway parking; offender selected commuter motorcycle between 8 PM and 11 PM.,Motorcycle Theft,Mysuru
SYN-2026-LEG-1015,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-LEG-1015 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-LEG-1015 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮೈಸೂರು
SYN-2026-BLR-0013,synthetic-20260717-1000,en,Synthetic report of a handset theft in a crowded public place.,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Mobile Phone Theft,Bengaluru South
SYN-2026-BLR-0013,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ Mobile Phone Theft. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-BLR-0013 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-BLR-0013 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,Mobile Phone Theft,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2026-MYS-0014,synthetic-20260717-1000,en,Synthetic report of evening chain snatching near a commercial or transit corridor.,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Chain Snatching,Mysuru
SYN-2026-MYS-0014,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-MYS-0014 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-MYS-0014 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಮೈಸೂರು
SYN-2026-HBL-0015,synthetic-20260717-1000,en,Synthetic report of residential burglary during a predictable unoccupied window.,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,House Burglary,Hubballi-Dharwad
SYN-2026-HBL-0015,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಳ್ಳತನ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-HBL-0015 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-HBL-0015 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಮನೆ ಕಳ್ಳತನ,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ
SYN-2026-MNG-0016,synthetic-20260717-1000,en,Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Motorcycle Theft,Mangaluru
SYN-2026-MNG-0016,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮಂಗಳೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-MNG-0016 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-MNG-0016 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮಂಗಳೂರು
SYN-2026-BLG-0017,synthetic-20260717-1000,en,Synthetic report of a social-engineering payment fraud using a disposable phone number.,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,UPI Fraud,Belagavi
SYN-2026-BLG-0017,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಳಗಾವಿ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಯುಪಿಐ ವಂಚನೆ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-BLG-0017 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-BLG-0017 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಯುಪಿಐ ವಂಚನೆ,ಬೆಳಗಾವಿ
SYN-2026-KLB-0018,synthetic-20260717-1000,en,Synthetic report of evening chain snatching near a commercial or transit corridor.,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Chain Snatching,Kalaburagi
SYN-2026-KLB-0018,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಕಲಬುರಗಿ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-KLB-0018 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-KLB-0018 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಕಲಬುರಗಿ
SYN-2026-BLR-0019,synthetic-20260717-1000,en,Synthetic report of evening chain snatching near a commercial or transit corridor.,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Chain Snatching,Bengaluru South
SYN-2026-BLR-0019,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-BLR-0019 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-BLR-0019 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2026-MYS-0020,synthetic-20260717-1000,en,Synthetic report of residential burglary during a predictable unoccupied window.,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,House Burglary,Mysuru
SYN-2026-MYS-0020,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಳ್ಳತನ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-MYS-0020 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-MYS-0020 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಮನೆ ಕಳ್ಳತನ,ಮೈಸೂರು
SYN-2026-HBL-0021,synthetic-20260717-1000,en,Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Motorcycle Theft,Hubballi-Dharwad
SYN-2026-HBL-0021,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-HBL-0021 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-HBL-0021 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ
SYN-2026-MNG-0022,synthetic-20260717-1000,en,Synthetic report of a social-engineering payment fraud using a disposable phone number.,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,UPI Fraud,Mangaluru
SYN-2026-MNG-0022,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮಂಗಳೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಯುಪಿಐ ವಂಚನೆ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-MNG-0022 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-MNG-0022 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಯುಪಿಐ ವಂಚನೆ,ಮಂಗಳೂರು
SYN-2026-BLG-0023,synthetic-20260717-1000,en,Synthetic report of a handset theft in a crowded public place.,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Mobile Phone Theft,Belagavi
SYN-2026-BLG-0023,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಳಗಾವಿ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ Mobile Phone Theft. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-BLG-0023 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-BLG-0023 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,Mobile Phone Theft,ಬೆಳಗಾವಿ
SYN-2026-KLB-0024,synthetic-20260717-1000,en,Synthetic report of evening chain snatching near a commercial or transit corridor.,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Chain Snatching,Kalaburagi
SYN-2026-KLB-0024,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಕಲಬುರಗಿ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-KLB-0024 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-KLB-0024 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಕಲಬುರಗಿ
SYN-2026-BLR-0025,synthetic-20260717-1000,en,Synthetic report of residential burglary during a predictable unoccupied window.,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,House Burglary,Bengaluru South
SYN-2026-BLR-0025,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಳ್ಳತನ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-BLR-0025 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-BLR-0025 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಮನೆ ಕಳ್ಳತನ,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2026-MYS-0026,synthetic-20260717-1000,en,Synthetic report of a motorcycle removed from a public parking area during a low-visibility period.,"Two-person team targets parked motorcycles, defeats the handle lock and leaves through a connecting road.",Motorcycle Theft,Mysuru
SYN-2026-MYS-0026,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-MYS-0026 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-MYS-0026 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಮೈಸೂರು
SYN-2026-HBL-0027,synthetic-20260717-1000,en,Synthetic report of a social-engineering payment fraud using a disposable phone number.,Caller impersonates support staff and induces the victim to approve a collect request through a mule account.,UPI Fraud,Hubballi-Dharwad
SYN-2026-HBL-0027,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಯುಪಿಐ ವಂಚನೆ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2026-HBL-0027 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2026-HBL-0027 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಯುಪಿಐ ವಂಚನೆ,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ
